block_id,lat,lon,area_km2,in_study_area,geometry,stage,agency,commodity,district,state,source_doc,official_url,evidence_classes,implied_evidence_level,provenance
KAWALEWADA_SAKKARDARA,21.54966,79.80683,9.12,True,"{""type"": ""Polygon"", ""coordinates"": [[[79.78551944444445, 21.554269444444444], [79.81567777777778, 21.565058333333333], [79.82151944444443, 21.559627777777777], [79.82912499999999, 21.546319444444446], [79.79551944444444, 21.533275], [79.78551944444445, 21.554269444444444]]]}",G3 proposal,DGM Maharashtra,Mn,Bhandara,Maharashtra,NMET_KAWALEWADA,https://nmet.gov.in/upload/project_registration/618.pdf,GEOLOGICAL_MAPPING;GRADE_REPORTED;PROPOSAL_ONLY;STRUCTURAL,2,REAL_GOVERNMENT
RONGHA,21.49177,79.54832,38.55,True,"{""type"": ""Polygon"", ""coordinates"": [[[79.51565, 21.466105555555554], [79.5151361111111, 21.516866666666665], [79.58099722222222, 21.517441666666667], [79.58148888888888, 21.466677777777775], [79.51565, 21.466105555555554]]]}",G4 proposal,DGM Maharashtra,Mn,Bhandara,Maharashtra,NMET_RONGHA,https://nmet.gov.in/upload/project_registration/63b561b8c36ff5%20Rongha%20Manganse%20Block_compressed.pdf,PROPOSAL_ONLY;STRUCTURAL,1,REAL_GOVERNMENT
KATORI_JHIRIYA,21.6329,79.91784,141.03,True,"{""type"": ""Polygon"", ""coordinates"": [[[79.96970400000001, 21.75], [80.0, 21.728375527777775], [80.0, 21.711145388888887], [79.89576841666667, 21.530477972222222], [79.81040669444444, 21.577819583333333], [79.83670749999999, 21.606247472222222], [79.92275102777778, 21.60974927777778], [79.92383380555556, 21.700422749999998], [79.96970400000001, 21.75]]]}",G4 proposal,MECL / NMET,Mn,Balaghat,Madhya Pradesh,NMET_KATORI,https://nmet.gov.in/upload/project_registration/643e41dfa076f19%20Proposal%20Katori-Jhiriya%20manganese%20block%20MP.pdf,GEOCHEMICAL_SURFACE;GEOLOGICAL_CONTEXT,2,REAL_GOVERNMENT
NAGARDHAN,21.32678,79.32238,2.01,True,"{""type"": ""Polygon"", ""coordinates"": [[[79.31658055555555, 21.334291666666665], [79.328175, 21.33428333333333], [79.32819166666667, 21.319277777777778], [79.31656944444444, 21.319275], [79.31658055555555, 21.334291666666665]]]}",G3 proposal,MECL / NMET,Mn,Nagpur,Maharashtra,NMET_NAGARDHAN,https://nmet.gov.in/upload/project_registration/65fab3bfd3607Nag.pdf,DRILLING_INTERSECTION_REPORTED;GRADE_REPORTED;PIT_INTERSECTION_REPORTED,3,REAL_GOVERNMENT
LANJERA_FUTALA,21.42229,79.5557,8.7,True,"{""type"": ""Polygon"", ""coordinates"": [[[79.53388888888888, 21.425], [79.5786111111111, 21.43722222222222], [79.5761111111111, 21.419444444444444], [79.535, 21.40722222222222], [79.53388888888888, 21.425]]]}",G4 proposal,NMET,Mn,Bhandara,Maharashtra,NMET_LANJERA,https://nmet.gov.in/upload/project_registration/5c358b4aae6b6Proposal-Lanjera-%20Futala_%20Block_Mn.pdf,PROPOSAL_ONLY;STRUCTURAL,1,REAL_GOVERNMENT
