fy,metric,value,unit,scope,source_document,official_url,quote,provenance
2024-25,exploratory_drilling,107530.0,m,MOIL company total,MOIL Annual Report 2024-25,https://backend.moil.nic.in/getFiles/public/document/6a2fa99e40-Annual_Report_2024-25.pdf,"achieved its highest-ever exploratory drilling of 1,07,530 metres",REAL_MOIL_PUBLIC
2024-25,resources_added_by_drilling,16.07,million tonnes,MOIL company total,MOIL Annual Report 2024-25,https://backend.moil.nic.in/getFiles/public/document/6a2fa99e40-Annual_Report_2024-25.pdf,leading to the addition of 16.07 million tonnes of resources,REAL_MOIL_PUBLIC
2024-25,reserves_and_resources_total_31mar2025,121.97,million tonnes,MOIL company total (UNFC as reported),MOIL Annual Report 2024-25,https://backend.moil.nic.in/getFiles/public/document/6a2fa99e40-Annual_Report_2024-25.pdf,total reserves and resources as on 31st March 2025 stood at 121.97 million tonnes,REAL_MOIL_PUBLIC
2024-25,reserves_31mar2025,53.47,million tonnes,MOIL company total (as reported),MOIL Annual Report 2024-25,https://backend.moil.nic.in/getFiles/public/document/6a2fa99e40-Annual_Report_2024-25.pdf,comprising 53.47 million tonnes of reserves,REAL_MOIL_PUBLIC
2024-25,resources_31mar2025,68.5,million tonnes,MOIL company total (as reported),MOIL Annual Report 2024-25,https://backend.moil.nic.in/getFiles/public/document/6a2fa99e40-Annual_Report_2024-25.pdf,and 68.50 million tonnes of resources,REAL_MOIL_PUBLIC
2020-21..2024-25,exploratory_drilling_5yr,283094.0,m,MOIL company total,MOIL Annual Report 2024-25,https://backend.moil.nic.in/getFiles/public/document/6a2fa99e40-Annual_Report_2024-25.pdf,"a total of 2,83,094 meters of exploration drilling ... 1,64,981 meters within mining lease areas and 1,18,113 meters outside",REAL_MOIL_PUBLIC
