date,rainfall_mm,temperature_max_c,rainfall_source,tmax_source,soil_moisture_m3m3,soil_moisture_source
2021-01-29,4.22,25.24,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.275,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-30,0.0,24.93,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.282,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-31,0.0,26.83,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.278,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-01,0.0,28.44,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.276,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-02,0.0,30.09,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.271,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-03,0.0,30.73,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.27,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-04,0.0,31.34,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.268,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-05,0.0,29.74,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.266,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-06,0.0,27.13,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.263,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-07,0.0,27.18,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-08,0.0,27.99,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.261,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-09,0.0,29.84,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.261,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
