doc_id,title,official_url,sha256,retrieved_utc,agency,stage,commodity,district,state
NMET_KAWALEWADA,"Proposal for Manganese in Kawalewada – Sakkardara Block, Tumsar Tahsil, Bhandara (G3)",https://nmet.gov.in/upload/project_registration/618.pdf,1017c657af0da3fc05a7510f6bcf7a9e3c692fcf6f1f064af394c8387c9d7f2a,2026-09-26,DGM Maharashtra,G3 proposal,Mn,Bhandara,Maharashtra
NMET_RONGHA,"Proposal for Manganese in Rongha Block, Tumsar Tahsil, Bhandara, Reconnaissance Survey (G4) under NMET",https://nmet.gov.in/upload/project_registration/63b561b8c36ff5%20Rongha%20Manganse%20Block_compressed.pdf,6ac689d44a3cd9f3e811e393139fb626bdf6325ccce7b3b2a656a1f52a647ac3,2026-09-26,DGM Maharashtra,G4 proposal,Mn,Bhandara,Maharashtra
NMET_KATORI,"Proposal of Reconnaissance Survey (G-4) for Manganese, Katori-Jhiriya Block, Balaghat",https://nmet.gov.in/upload/project_registration/643e41dfa076f19%20Proposal%20Katori-Jhiriya%20manganese%20block%20MP.pdf,a9f7b3c7b7ab601f37f74dca230570482c2fca33196c02d29c1b9113e6ad451d,2026-09-26,MECL / NMET,G4 proposal,Mn,Balaghat,Madhya Pradesh
NMET_NAGARDHAN,"Proposal for Preliminary Exploration (G-3) for Manganese, Nagardhan Block, Ramtek, Nagpur",https://nmet.gov.in/upload/project_registration/65fab3bfd3607Nag.pdf,fc163d9ee7293c9896d1336f03206c4711e87b8a84115baa8b5a0dbc28c3d7bd,2026-09-26,MECL / NMET,G3 proposal,Mn,Nagpur,Maharashtra
NMET_LANJERA,"Regional Exploration Proposal for Manganese Ore, Lanjera-Futala Block, Bhandara (G-4)",https://nmet.gov.in/upload/project_registration/5c358b4aae6b6Proposal-Lanjera-%20Futala_%20Block_Mn.pdf,0d16c6416b29c139645b6a027659c0c18f85807134ea05190d9c5697944c60ba,2026-09-26,NMET,G4 proposal,Mn,Bhandara,Maharashtra
