fy,fy_start_year,fy_quarter,quarter_start,production_t,non_fines_t,fines_t,basis,source_documents,producer,scope,mineral,temporal_resolution,provenance
2018-19,2018,2,2018-07-01,274000.0,241000.0,34000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2019 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2019 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2018-19,2018,3,2018-10-01,327000.0,290000.0,36000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2019 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2019 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2018-19,2018,4,2019-01-01,375000.0,308000.0,68000.0,derived: cumulative difference,Quantitative Details for the year 2019-20 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2019 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2019-20,2019,1,2019-04-01,318000.0,263000.0,54000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2020 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2019-20,2019,2,2019-07-01,261000.0,232000.0,29000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2020 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2020 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2019-20,2019,3,2019-10-01,366000.0,309000.0,58000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2020 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2020 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2019-20,2019,4,2020-01-01,332000.0,266000.0,66000.0,derived: cumulative difference,Quantitative Details for the year 2020-21 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2020 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2020-21,2020,1,2020-04-01,134000.0,115000.0,19000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2021 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2020-21,2020,2,2020-07-01,260000.0,211000.0,49000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2021 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2021 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2020-21,2020,3,2020-10-01,347000.0,287000.0,60000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2021 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2021 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
