lat,lon,unit_name,lith,age_top_ma,age_bottom_ma,interval,source_id,precambrian
21.0,80.45,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.0,80.55,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.0,80.65,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.0,80.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.0,80.85,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.0,80.95,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.1,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.1,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.1,78.75,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.1,78.85,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.1,78.95,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.1,79.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,79.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,79.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,79.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,79.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,79.55,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
