lat,lon,unit_name,lith,age_top_ma,age_bottom_ma,interval,source_id,precambrian
21.1,79.65,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.1,79.75,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.1,79.85,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.1,79.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,80.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,80.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,80.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,80.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.1,80.45,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.1,80.55,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.1,80.65,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.1,80.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.1,80.85,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.1,80.95,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.2,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.2,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.2,78.75,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.2,78.85,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.2,78.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.55,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.65,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,79.75,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.2,79.85,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.2,79.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,80.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,80.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,80.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,80.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,80.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.2,80.55,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.2,80.65,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.2,80.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.2,80.85,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.2,80.95,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.3,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.3,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.3,78.75,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.3,78.85,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,78.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.55,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.65,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.75,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,79.85,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.3,79.95,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.3,80.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,80.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,80.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,80.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,80.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,80.55,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.3,80.65,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.3,80.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.3,80.85,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.3,80.95,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.4,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.4,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.4,78.75,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.4,78.85,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,78.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.35,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.4,79.45,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.4,79.55,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.4,79.65,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.75,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.85,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,79.95,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
21.4,80.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.55,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.65,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.4,80.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.4,80.85,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.4,80.95,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.5,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.5,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.5,78.75,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,78.85,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,78.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,79.05,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,79.15,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,79.25,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,79.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,79.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.5,79.55,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.5,79.65,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.5,79.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
