dep_id,site_name,dev_stat,lat,lon,commodities,url,label_use
10183457,Maharashtra-Madya Pradesh Area,Producer,21.95506,80.05034,MN P,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183457,EXCLUDED_REGIONAL_RECORD
10183530,Manegaon Mines,Producer,21.82947,80.26034,FE MN P SIL,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183530,POSITIVE
10206660,Beldongri,Producer,21.34951,79.30036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206660,POSITIVE
10207106,Satak Mine and Satak Extension Mi,Past Producer,21.34951,79.26036,FE MN P SIL,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207106,POSITIVE
10207184,Ukwa,Producer,21.95946,80.46033,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207184,POSITIVE
10207185,Kandri Mine,Plant,21.40951,79.28036,MN AL FE P SIL,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207185,POSITIVE
10207244,Gumgaon,Producer,21.39951,78.98367,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207244,POSITIVE
10207330,Junewani Mines Area:  Junewani Mi,Producer,21.4795,79.26036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207330,EXCLUDED_REGIONAL_RECORD
10208578,Bhandarbori Mine,Producer,21.39951,79.45036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10208578,EXCLUDED_DUPLICATE_LOCATION
10231163,Jagantola and Ghondi Mines,Past Producer,21.94946,80.26034,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231163,POSITIVE
10255721,Salai-Ghoti Belt,Past Producer,21.5095,79.43036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10255721,POSITIVE
10256031,Mudda Mines,Past Producer,21.4595,79.41036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10256031,POSITIVE
10279381,Mandri Mine,Producer,21.40951,79.40036,MN P,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10279381,POSITIVE
10279384,Maharashtra/Mahya Pradesh Area,Producer,21.99947,79.00038,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10279384,EXCLUDED_REGIONAL_RECORD
10279528,Waregaon Deposit,Past Producer,21.32952,79.41036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10279528,POSITIVE
10303989,Mansar,Producer,21.39951,79.26036,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10303989,POSITIVE
60000571,Madhya Pradesh and Maharashtra States,Producer,21.83277,80.30034,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=60000571,POSITIVE
